is:pl,Number=Plur
is:sg,Number=Sing
is:1isg,Person=1|Number=Sing
is:1jsg,Person=1|Number=Sing
is:1pe,Person=1
is:1pl,Person=1|Number=Plur
is:1sg,Person=1|Number=Sing
is:2pe,Person=2
is:2pl,Person=2 Number=Plur
is:2sg,Person=2|Number=Sing
is:3pe,Person=3
is:3pl!,Person=3|Number=Plur
is:3pl,Person=3|Number=Plur
is:3sg,Person=3|Number=Sing
is:epi,Gender=Epi
is:fem,Gender=Fem
is:incl,Gender=Incl
is:mas,Gender=Masc
is:infi,VerbForm=Inf
is:ifut,Tense=Fut|Mood=Ind
is:iimp,Tense=Imp|Mood=Ind
is:cond,Tense=Pres|Mood=Cnd
is:impe,Tense=Pres|Mood=Imp
is:ipre,Tense=Pres|Mood=Ind
is:ipsi,Tense=Past|Mood=Ind
is:simp,Tense=Past|Mood=Sub
is:spre,Tense=Pres|Mood=Sub
is:ppas,Tense=Past|VerbForm=Part
is:ppre,Tense=Pres|VerbForm=Part
is:inv,Inv=Yes
is:eli,Elision=Yes
